Категории	МСС
Авто 	4784, 5013, 5271, 5511, 5521, 5531-5533, 5551, 5561, 5571, 5592, 5598, 5599, 7511, 7523, 7531, 7534, 7535, 7538, 7542, 7549
АЗС 	5172, 5541, 5542, 5552, 5983, 9752, 3990
Аренда авто 	3351-3398, 3400-3410, 3412-3423, 3425-3439, 3441, 7512, 7513, 7519, 3990
Дом и ремонт 	0780, 1520, 1711, 1731, 1740, 1750, 1761, 1771, 2842, 5021, 5039, 5046, 5051, 5072, 5074, 5085, 5198, 5200, 5211, 5231, 5251, 5261, 5712, 5713, 5714, 5718, 5719, 5950, 5996, 7217, 7641, 7692, 7699, 3990
Животные	0742, 5995
Здоровье 	4119, 5047, 5122, 5912, 5975, 5976, 8011, 8021, 8031, 8041, 8042, 8043, 8044, 8049, 8050, 8062, 8071, 8099
Кафе и рестораны 	5811, 5812, 5813
Книги 	2741, 5111, 5192, 5942, 5943, 5994
Коммунальные услуги	4900
Красота  	5977, 7230, 7297
Образование 	8211, 8220, 8241, 8244, 8249, 8299, 8351, 3990
Одежда и обувь 	5137, 5139, 5611, 5621, 5631, 5641, 5651, 5661, 5681, 5691, 5697, 5698, 5699, 5931, 5948, 7251, 7296, 7631
Путешествия 	3000 - 3302, 3500 - 3838, 4411, 4511, 4722, 4723, 5962, 7011, 7033
Развлечения 	5733, 5945 - 5947, 5949, 5970 - 5972, 5998, 7032, 7221, 7395, 7800, 7801, 7829, 7832, 7841, 7911, 7922, 7929, 7932, 7933, 7941, 7991 - 7999, 9406, 9754, 3990
Связь, интернет и ТВ	4813-4816, 4821, 4899, 7372, 7375
Спортивные товары 	 5655, 5940, 5941
Супермаркеты 	5262, 5300, 5310, 5311, 5331, 5399, 5411, 5422, 5441, 5451, 5462, 5499, 7278, 9751, 3990
Такси 	4121, 3990
Техника 	4812, 5044, 5045, 5065, 5722, 5732, 5978, 5997, 7379, 7622, 7623, 7629, 3990
Транспорт	4011-4112, 4131, 4729, 4789, 3990
Фастфуд 	5814, 3990
Цветы 	5193, 5992
Цифровые товары 	5734, 5735, 5815-5818
Ювелирные изделия 	5094, 5944
