Категории	МСС
АЗС (1-10%)	3990, 3991, 5172, 5541, 5542, 5983, 9752
Аптека (1-10%)	5122, 5912
Зоотовары (1-10%)	0742, 5995
Кафе и рестораны (1-10%)	3990, 3991, 5462, 5811, 5812, 5813, 5814
Кино и театр (1-10%)	3991, 7832, 7922
Медицинские услуги (1-10%)	3990, 4119, 5975, 5976, 8011, 8021, 8031, 8041, 8042, 8043, 8044, 8049, 8062, 8071, 8099
Образование (1-10%)	3990, 3991, 8211, 8220, 8241, 8249, 8299, 8351
Одежда и обувь (1-10%)	5137, 5139, 5611, 5621, 5631, 5651, 5661, 5681, 5691, 5699, 5931, 5948
Парфюмерия и косметика (1-10%)	5977
Салоны красоты (1-10%)	7230, 7297, 7298
Спорт и фитнес (1-10%)	5655, 5940, 5941, 7941, 7992, 7997
Супермаркеты (1-10%)	3990, 3991, 5411, 5422, 5441, 5451, 5499, 9751
Такси и каршеринг (1-10%)	3990, 3991, 4121, 7512
Товары для детей (1-10%)	5641, 5945
Товары для дома (1-10%)	0780, 1520, 1711, 1740, 1750, 1761, 1771, 1799, 5021, 5039, 5051, 5065, 5072, 5074, 5198, 5200, 5211, 5231, 5261, 5712, 5713, 5714, 5718, 5719, 5950, 5996, 5998
Транспорт (1-10%)	4111, 4131
Хобби и развлечения (1-10%)	2741, 5192, 5733, 5942, 5946, 5970, 5971, 5972, 5994, 7221, 7333, 7395, 7911, 7933, 7991, 7996, 7998, 7999
Электроника и бытовая техника (1-10%)	3991, 5722, 5732
