Категории	МСС
Авиабилеты 	3000-3299; 4304; 4415; 4418; 4511; 4582
Автоуслуги 	5511, 5521, 5531, 5532, 5533, 5571, 7012, 7531, 7534, 7535, 7538, 7542, 7549
Аренда авто	 3351-3398, 3400-3410, 3412-3423, 3425-3439, 3441, 7512, 7513, 7519
Аптеки 	5122, 5292, 5295, 5912
Детские товары 	5641, 5945
Дом, Ремонт 	1520, 1711, 1731, 1740,1750, 1761, 1771, 1799, 2791, 2842, 5021, 5039, 5046, 5051, 5065, 5072, 5074, 5085, 5198, 5200, 5211, 5231, 5251, 5261, 5415, 5712, 5713, 5714, 5718, 5719, 5722, 7622, 7623, 7629, 7641, 7692, 7699
Ж/д билеты 	4011, 4111, 4112
Животные 	5995, 0742
Искусство 	5932, 5937, 5970, 5971, 5972,5973
Канцтовары 	5111, 5943
Каршеринг 	7512, 4121
Кино 	7829, 7832, 7841,
Книги	2741, 5111, 5192, 5942, 5994
Косметика 	5977
Красота	 5977,7230,7297,7298
Местный транспорт 	4111
Музыка 	5733, 5735
Образование 	8211, 8220, 8241, 8244, 8249, 8299, 8493, 8494, 8351
Одежда, Обувь, Ювелирные изделия и часы / Одежда и обувь онлайн	5094, 5137, 5139, 5611, 5621, 5631, 5641, 5651, 5661, 5681, 5691, 5697, 5698, 5699, 5931, 5944, 5949, 5950, 7296, 7631
Платные дороги 	4784
Развлечения 	7911, 7922, 7929, 7932, 7933, 7941, 7991, 7992, 7993, 7994, 7996, 7997, 7998, 7999, 8664
Рестораны 	5811, 5812, 5813
Спорттовары	5655, 5940, 5941
Сувениры 	5947
Супермаркеты / Онлайн-супермаркеты	5297, 5298, 5300, 5411, 5412, 5422, 5441, 5451, 5462, 5499, 5715, 5921
Такси 	4121
Топливо 	5172, 5541, 5542, 5983
Транспорт 	4111, 4121, 4131, 4457, 4468, 4784, 4789, 5013, 5271, 5551, 5561, 5592, 5598, 5599, 7511, 7523
Фаст Фуд 	5814
Фото, Видео 	5044, 5045, 5946, 7332, 7333, 7338, 7339, 7395
Цветы	 5193, 5992
Электроника и техника	 5722, 5732
Duty Free 	5309
