Категории	МСС
Duty Free (2-25%)	5309
Авиабилеты (2-25%)	3000–3301, 4511, 4582
Автоуслуги (2-25%)	5531–5533, 7511, 7531, 7534, 7535, 7538, 7542, 7549
АЗС (2-25%)	5172, 5541, 5542, 5552, 5983, 9752
Алкоголь (2-25%)	5715, 5921
Аптеки (2-25%)	5122, 5912
Аренда авто (2-25%)	3351–3441, 7512, 7513, 7519
Бытовые услуги (2-25%)	5697, 7210, 7211, 7216, 7217, 7251, 7342, 7349
Детские товары (2-25%)	5641, 5945
Дом и ремонт (2-25%)	0780, 1520, 1711, 1731, 1740, 1750, 1761, 1771, 1799, 2842, 5021, 5039, 5051, 5065, 5072, 5074, 5131, 5169, 5198, 5200, 5211, 5231, 5251, 5261, 5311, 5331, 5712–5714, 5718, 5719, 5949, 5950, 5996, 5998, 7622, 7623, 7629, 7641, 7692, 7699
Ж/д билеты (2-25%)	4011, 4112
Здоровье (2-25%)	4119, 5975, 5976, 8011, 8021, 8031, 8041–8044, 8049, 8050, 8062, 8071, 8099
Зоотовары (2-25%)	0742, 5995
Искусство (2-25%)	5932, 5937, 5970–5973
Кафе и рестораны (2-25%)	5811–5814
Книги и канцтовары (2-25%)	2741, 5111, 5192, 5942, 5943, 5994
Красота (2-25%)	5698, 5977, 7230, 7297, 7298
Маркетплейсы (2-25%)	5262, 5300, 7278
Образование (2-25%)	8211, 8220, 8241, 8244, 8249, 8299, 8351
Одежда и обувь (2-25%)	5137, 5139, 5611, 5621, 5631, 5651, 5661, 5681, 5691, 5699, 5931, 5948
Отели (2-25%)	3501–3836, 7011, 7012, 7032, 7033
Платные дороги (2-25%)	 4784, 7523
Продажа авто (2-25%)	5013, 5271, 5511, 5521, 5551, 5561, 5571, 5592, 5598, 5599
Развлечения (2-25%)	5733, 5947, 5968, 7221, 7333, 7395, 7911, 7929, 7932, 7933, 7991, 7996, 7998, 7999
Спортивные товары (2-25%)	5655, 5940, 5941
Страхование (2-25%)	6300, 6381, 6399
Супермаркеты (2-25%)	5411, 5412, 5422, 5441, 5451, 5462, 5499, 9751
Такси (2-25%)	4121
Театры и кино (2-25%)	7832, 7833, 7922
Транспорт (2-25%)	4111, 4131, 4789
Турагентства (2-25%)	4411, 4722, 4723, 5962
Украшения и бижутерия (2-25%)	5094, 5944, 7631
Услуги ЖКХ (2-25%)	4900
Услуги связи (2-25%)	4813–4816, 4821, 4899
Фитнес (2-25%)	7941, 7992, 7997
Цветы (2-25%)	5193, 5992
Цифровой контент (2-25%)	5734, 5735, 5815–5818, 7829, 7841, 7993, 7994
Электроника (2-25%)	 5044, 5045, 5722, 5732, 5946, 5997
